FOX Smart televizor 32AOS41C,14998.0,Nema podataka o procesoru,1366 x 768 px HD Ready,3
VOX Smart televizor 32ADW-D1B,15998.0,Nema podataka o procesoru,1366 x 768 px HD Ready,2
VOX Smart televizor LED 32A11H315FL,17272.0,Nema podataka o procesoru,1366 x 768 px,2
Tesla Smart televizor 32E635BHS,17999.0,ARM cortex - Quad Core A55 1450 MHz Mali G31 MP2,1366 x 768 px,3
32E625BHS Smart TV do TESLA,18181.0,ARM cortex - Quad core CA53 1300 MHz GPU: Mali 470 MP3,1366 x 768 px HD,3
Tesla Smart televizor 32E610BHS,20454.0,ARM cortex Quad Core CA53 1300 MHz GPU: Mali 470 MP3,1366 x 768 px HD Ready,3
VOX Smart televizor LED 39A11H316B,21998.0,Nema podataka o procesoru,1366 x 768 px,Nema podataka o HDMI
VOX Smart televizor LED 42A11FG10B,23635.0,Nema podataka o procesoru,1920 x 1080 px,2
Smart televizor TCL 32S615,23999.0,Quad Core,1366 x 768 px HD Ready,2
TCL Smart televizor 32S5200,23999.0,Dual Core,1366 x 768 px HD Ready,2
VOX Smart televizor 43A11F316B,24998.0,ARM Cortex A53/12 GHz/Quad Core,1920 x 1080 px,3
Tesla Smart televizor 40E635BFS,25999.0,Nema podataka o procesoru,1920 x 1080 px,3
Samsung Smart televizor UE32T4302AKXXH,26999.0,HyperReal,1366 x 768 px HD Ready,2
Vox Smart televizor UHD 43A11U672B,27998.0,Nema podataka o procesoru,3840 x 2160 px Ultra HD,3
Tesla Smart televizor 43E635BFS,27999.0,Nema podataka o procesoru,1920 x 1080 px,3
JVC Smart televizor 43VAF3000,29090.0,Quad Core,1920 x 1080 px Full HD,3
Tesla Smart televizor 43E625BUS,29990.0,ARM cortex - Quad Core CA55,3840 x 2160 px,3
32LQ630B6LA.AEU Smart TV do LG,29999.0,Nema podataka o procesoru,1366 x 768 px HD Ready,2
JVC Smart televizor LT-43VA3200,30900.0,Nema podataka o procesoru,3840 x 2160 px,3
JVC Smart televizor LT-43VA2100,31809.0,Nema podataka o procesoru,3840 x 2160 px,3
VOX Smart televizor 43WOS315B,31999.0,Nema podataka o procesoru,3840 x 2160 px 4K UHD,3
32LQ63006LA.AEU Smart TV do LG,31999.0,Nema podataka o procesoru,1920 x 1080 px Full HD,2
JVC Smart televizor LT-43VA3000,32726.0,Quad Core,3840 x 2160 px,4
Alpha Smart televizor 43M8TUA,32999.0,Nema podataka o procesoru,3840 x 2160 px 4K Ultra HD,3
Alpha Smart Android televizor 43G7NUA,32999.0,Quad Core,3840 x 2160 px 4K Ultra HD,2
TCL Smart TV 43P635,34999.0,CA55*4 @1.3GHZ MAX,3840*2160,1
FOX Smart televizor 50DLE858,36998.0,ARM Cortex - A53 Quad Core,3840 x 2160 px 4K Ultra HD,3
JVC Smart televizor LT-50VA3200,37264.0,Nema podataka o procesoru,3840 x 2160 px,3
Hisense Smart televizor 43A63H,37999.0,Nema podataka o procesoru,3840 x 2160 px 4K UHD,3
VOX Smart televizor UHD 50A11U672B,37999.0,Nema podataka o procesoru,3840 x 2160 px 4K,3
TCL Smart televizor 43" 43P615,37999.0,CPU: 64-bit A55 x 4 900 MHz - 11 GHz GPU: Mali470 x 3 600 MHz - 800 MHz,3840 x 2160 px 4K Ultra HD,Nema podataka o HDMI
VOX Smart televizor 50WOS315B,38999.0,Nema podataka o procesoru,3840 x 2160 px 4K Ultra HD,3
Tesla Smart televizor 50E625BUS,39999.0,ARM cortex - Quad Core CA55 / 1300 MHz GPU: Mali 470 MP3,3840 x 2160 px 4K UHD,3
Alpha Smart televizor 50G7NUA,39999.0,Quad Core,3840 x 2160 px 4K Ultra HD,2
Samsung Smart televizor UE43TU7022KXXH,39999.0,Crystal 4K,3840 x 2160 px 4K Ultra HD,2
Samsung Smart televizor UE43AU7022KXXH,39999.0,Crystal 4K procesor,3840 x 2160 px,3
Tesla Smart televizor 55E625BUS,40999.0,ARM cortex - Quad Core CA55 / 1300 MHz GPU: Mali 470 MP3,3840 x 2160 px 4K UHD,3
TCL Smart televizor 43P725,40999.0,Qual Core GPU: Dual Core,3480 x 2160 px 4K Ultra HD,2
JVC Smart televizor LT-55VA3200,41809.0,Nema podataka o procesoru,3840 x 2160 px,3
Samsung Smart televizor UE43AU7172UXXH,41999.0,Crystal Procesor 4K,3840 x 2160 px 4K Ultra HD,3
Samsung Smart televizor UE43TU7092UXXH,41999.0,Crystal 4K,3840 x 2160 px 4K Ultra HD,2
Samsung Smart televizor UE43AU7092UXXH,41999.0,Nema podataka o procesoru,3840 x 2160 px,3
VOX Smart televizor 55" 55WOS315B,43999.0,Nema podataka o procesoru,3840 x 2160 px 4K Ultra HD,3
Alpha Smart televizor 58F8UA,44998.0,Quad Core,3840 x 2160 px 4K Ultra HD,4
Hisense Smart televizor 50A63H,44999.0,Nema podataka o procesoru,3840 x 2160 px 4K UHD,3
Volt Smart televizor 55" 55VU20BS,45998.0,Quad Core,3840 x 2160 px 4K Ultra HD,3
FOX Smart televizor 55" 55WOS600A,45998.0,ARM Cortex-A55 Quad Core,3840 x 2160 px 4K Ultra HD,3
Samsung Smart televizor UE50AU7022KXXH,47999.0,Nema podataka o procesoru,3840 x 2160 px,3
FOX Smart televizor 58DLE858,48998.0,ARM Cortex-A53 Quad Core,3840 x 2160 px 4K Ultra HD,3
Samsung Smart televizor 50" UE50AU7172UXXH,49999.0,Crystal Procesor 4K,3840 x 2160 px 4K Ultra HD,3
TCL Smart TV 50P635,49999.0,CA55*4 @1.3GHZ MAX,3840*2160,1
TCL Smart televizor 43C725,49999.0,Quad Core,3840 x 2160 px 4K Ultra HD,3
TCL Smart televizor 50P615,49999.0,CPU: 64-bit A55 x 4 900 MHz - 11 GHz GPU: Mali470 x 3 600 MHz - 800 MHz,3840 x 2160 px 4K Ultra HD,Nema podataka o HDMI
Samsung UE43BU8072UXXH televizor 1092 cm (43") 4K Ultra HD Smart TV Wi-Fi Crno,49999.0,Nema podataka o procesoru,3840 x 2160 piksela,3
Philips Smart televizor 50PUS7506/12,51998.0,Dual Core,3840 x 2160 px 4K Ultra HD,3
Hisense Smart televizor 50" 50A7GQ,51999.0,Nema podataka o procesoru,3840 x 2160 px 4K Ultra HD,Nema podataka o HDMI
TCL Smart televizor 50P725,51999.0,Qual Core GPU: Dual Core,3480 x 2160 px 4K Ultra HD,3
Philips Smart televizor 50PUS7556/12,52998.0,Nema podataka o procesoru,Nema podataka o rezoluciji,Nema podataka o HDMI
TCL Smart televizor 55" 55P715,54999.0,Quad Core,3840 x 2160 px 4K Ultra HD,3
TCL Smart televizor 55P615,54999.0,Nema podataka o procesoru,3840 x 2160 px 4K Ultra HD,3
LG Smart televizor 50UQ75003LF.AEU,55999.0,Nema podataka o procesoru,Nema podataka o rezoluciji,Nema podataka o HDMI
Hisense Smart televizor 55A63H,55999.0,Nema podataka o procesoru,3840 x 2160 px 4K UHD,3
Samsung Smart televizor 55" UE55AU7172UXXH,57990.0,Crystal Procesor 4K,3840 x 2160 px 4K Ultra HD,3
Samsung Smart televizor UE50BU8072UXXH,57999.0,Crstyal processor 4K,3840 x 2160 px,3
Alpha Smart televizor 65F8UA,59998.0,Quad Core,3840 x 2160 px 4K Ultra HD,4
JVC Smart televizor LT-65VA3200,61809.0,Nema podataka o procesoru,3840 x 2160 px,3
JVC65VA3000 Smart TV 65 JVC,61817.0,Quad Core,3840 x 2160 px 4K UHD,4
VOX Smart televizor 65DSW552V,61998.0,Nema podataka o procesoru,3840 x 2160 px 4K UHD,3
VOX Smart televizor 65" 65WOS315B,63999.0,Nema podataka o procesoru,3840 x 2160 px 4K Ultra HD,3
Tesla Smart televizor Q55K925SUS,63999.0,ARM cortex - quad core CA55 GPU: Mali G31 MP2 - High speed,3840 x 2160 px 4K UHD,3
Hisense Smart televizor 55" 55A7GQ,64999.0,Nema podataka o procesoru,3840 x 2160 px 4K Ultra HD,Nema podataka o HDMI
TCL Smart televizor 55C635,64999.0,CA55*4 @1.3GHZ MAX,3840 x 2160 px,Nema podataka o HDMI
Samsung Smart televizor UE55BU8072UXXH,65999.0,Crystal 4K,3840 x 2160 px,3
Samsung Smart televizor QE50Q67BAUXXH,66999.0,Nema podataka o procesoru,Nema podataka o rezoluciji,Nema podataka o HDMI
Samsung "The Serif" Smart televizor QE43LS01TAUXXH - Beli,74999.0,Quantum 4K,3840 x 2160 px 4K Ultra HD,4
Samsung Smart televizor UE50AU9072UXXH,74999.0,Nema podataka o procesoru,Nema podataka o rezoluciji,Nema podataka o HDMI
Samsung Smart televizor UE60BU8002KXXH,75999.0,Crystal 4K,3840 x 2160 px,3
LG Smart televizor 55NANO763QA.AEU,77999.0,Nema podataka o procesoru,3840 x 2160 px,3
Sony Smart televizor KD50X81KAEP,79999.0,4K HDR Processor X1 4K X-Reality PRO TRILUMINOS PROObject-based HDR remaster,3840 x 2160 px,4
Samsung Smart televizor UE65AU7172UXXH,79999.0,Crystal 4K,3840 x 2160 px,3
Sony Smart televizor 50" KD50X80JAEP,79999.0,4K HDR processor X1,3840 x 2160 px 4K Ultra HD,4
Sony Smart televizor KD-50X80JCEP,79999.0,Nema podataka o procesoru,3840 x 2160 px 4K Ultra HD,4
Sony Smart televizor 55" KD55X80JAEP,86999.0,4K HDR Processor X1,3840 x 2160 px 4K Ultra HD,4
Sony Smart televizor KD-55X80JCEP,86999.0,Nema podataka o procesoru,3840 x 2160 px 4K Ultra HD,4
Samsung Smart televizor QE43LS05TCUXXH,89999.0,4K Quantum,3480 x 2160 px 4K Ultra HD,3
Sony Smart televizor KD-50X89J.AEP,89999.0,4K HDR procesor X1,3840 x 2160 px,4
Sony Smart televizor KE55XH9005BAEP,99998.0,X1 4K HDR procesor,3840 x 2160 px 4K Ultra HD,4
Sony Smart televizor KD55XH9096BAEP,99998.0,X1 4K HDR,3840 x 2160 px 4K Ultra HD,4
Samsung Series 7 QE55Q70BAT 1397 cm (55") 4K Ultra HD Smart TV Wi-Fi Titanijum,99999.0,Nema podataka o procesoru,3840 x 2160 piksela,4
Sony Smart televizor KD-55X89J.AEP,99999.0,4K HDR procesor X1,3840 x 2160 px,4
Samsung Smart televizor QE55Q60BAUXXH,99999.0,Nema podataka o procesoru,3840 x 2160 piksela,3
Sony Smart televizor XR-50X90JCEP,109999.0,Nema podataka o procesoru,3840 x 2160 px 4K Ultra HD,4
Samsung Smart televizor UE75AU7172UXXH,119999.0,Crystal Procesor 4K,3840 x 2160 px 4K Ultra HD,3
Sony Smart televizor 55" XR-55X90JCEP,119999.0,Nema podataka o procesoru,Nema podataka o rezoluciji,Nema podataka o HDMI
Sony Smart televizor XR55X90JAEP,119999.0,Nema podataka o procesoru,3840 x 2160 px 4K Ultra HD,4
Samsung Smart televizor QE55QN85BATXXH,129999.0,Nema podataka o procesoru,3840 x 2160 piksela,4
Samsung Smart televizor QE65Q70BATXXH,129999.0,4K Quantum,3840 x 2160 px,4
Samsung Smart televizor QE50Q80AATXXH,129999.0,Quantum Processor 4K,3840 x 2160 px 4K Ultra HD,4
Sony Smart televizor XR-55X93J.AEP,129999.0,Cognitive XR,3840 x 2160 px,4
Samsung Smart televizor QE55Q85RATXXH,134999.0,Nema podataka o procesoru,Nema podataka o rezoluciji,Nema podataka o HDMI
Philips Smart televizor 55" 55OLED805/12,149998.0,Quad Core,3840 x 2160 px 4K Ultra HD,4
Sony Smart televizor KD65A8BAEP,199998.0,Nema podataka o procesoru,3840 x 2160 px 4K Ultra HD,4
Sony Smart televizor XR65X90KAEP,199999.0,Nema podataka o procesoru,3840 x 2160 px,4
Samsung Series 7 QE75Q70BAT 1905 cm (75") 4K Ultra HD Smart TV Wi-Fi Titanijum,199999.0,Nema podataka o procesoru,3840 x 2160 piksela,4
Samsung Smart televizor UE85AU7172UXXH,199999.0,Crystal Procesor 4K,3840 x 2160 px 4K Ultra HD,3
Sony Smart televizor XR-55A90JCEP,209998.0,Nema podataka o procesoru,3840 x 2160 px 4K Ultra HD,4
Samsung Smart televizor QE65S95BATXXH,249999.0,Nema podataka o procesoru,Nema podataka o rezoluciji,Nema podataka o HDMI
Sony Smart televizor XR75X90KAEP,259999.0,Nema podataka o procesoru,3840 x 2160 px,4
Sony Smart televizor KE85XH9096BAEP,279998.0,X1 4K HDR procesor,3840 x 2160 px 4K Ultra HD,4
Sony Smart televizor XR55A95KAEP,329999.0,Nema podataka o procesoru,3840 x 216 px,Nema podataka o HDMI
Samsung Smart televizor QE65QN800BTXXH,379999.0,Neuronski Quantum 8K procesor,7680 x 4320 px,4
Sony Smart televizor XR-77A83K.AEP,449999.0,Cognitive XR,3840 x 2160 px,4
Samsung Smart televizor QE65QN900BTXXH,599999.0,Neuronski Quantum 8K procesor,7680 x 4320 px,4
